id,sectionNo,csn,name,category,faculty,schedule,startDate,endDate,capacity,status,prerequisites
1,001,CS101,Introduction to Programming,Core,Dr. Smith,Mon/Wed 10:00-11:30,2025-01-15,2025-05-15,30/30,Closed,
2,001,CS102,Data Structures,Core,Dr. Johnson,Tue/Thu 13:00-14:30,2025-01-15,2025-05-15,25/30,Open,CS101
3,001,CS201,Algorithms,Core,Dr. Williams,Mon/Wed 13:00-14:30,2025-01-15,2025-05-15,20/25,Open,CS102
4,001,MATH101,Calculus I,Mathematics,Dr. Brown,Tue/Thu 10:00-11:30,2025-01-15,2025-05-15,35/40,Open,
5,001,MATH102,Calculus II,Mathematics,Dr. Brown,Mon/Wed 14:00-15:30,2025-01-15,2025-05-15,30/35,Open,MATH101
6,001,CS103,Discrete Mathematics,Core,Dr. Davis,Fri 09:00-12:00,2025-01-15,2025-05-15,25/30,Open,MATH101
7,001,CS202,Computer Architecture,Core,Dr. Wilson,Tue/Thu 09:00-10:30,2025-01-15,2025-05-15,20/25,Open,CS102
8,001,CS203,Operating Systems,Core,Dr. Miller,Mon/Wed 15:00-16:30,2025-01-15,2025-05-15,25/30,Open,CS202
9,001,CS204,Database Systems,Core,Dr. Anderson,Tue/Thu 11:00-12:30,2025-01-15,2025-05-15,30/35,Open,CS102
10,001,CS205,Software Engineering,Core,Dr. Taylor,Fri 13:00-16:00,2025-01-15,2025-05-15,20/25,Open,CS102
11,001,CS301,Advanced Algorithms,Core,Dr. Williams,Mon/Wed 10:00-11:30,2025-01-15,2025-05-15,15/20,Open,CS201
12,001,CS302,Artificial Intelligence,Elective,Dr. Johnson,Tue/Thu 14:00-15:30,2025-01-15,2025-05-15,25/30,Open,CS201
13,001,CS303,Machine Learning,Elective,Dr. Davis,Mon/Wed 13:00-14:30,2025-01-15,2025-05-15,20/25,Open,"CS201,MATH102"
14,001,CS304,Computer Networks,Core,Dr. Wilson,Fri 09:00-12:00,2025-01-15,2025-05-15,25/30,Open,CS203
15,001,CS305,Distributed Systems,Elective,Dr. Miller,Tue/Thu 10:00-11:30,2025-01-15,2025-05-15,15/20,Open,CS203
16,001,ENG101,Academic Writing,General,Dr. Roberts,Mon/Wed 11:00-12:30,2025-01-15,2025-05-15,40/45,Open,
17,001,ENG102,Technical Writing,General,Dr. Roberts,Tue/Thu 09:00-10:30,2025-01-15,2025-05-15,35/40,Open,ENG101
18,001,PHYS101,Physics I,Science,Dr. White,Fri 10:00-13:00,2025-01-15,2025-05-15,30/35,Open,MATH101
19,001,PHYS102,Physics II,Science,Dr. White,Mon/Wed 16:00-17:30,2025-01-15,2025-05-15,25/30,Open,"PHYS101,MATH102"
20,001,CHEM101,Chemistry I,Science,Dr. Green,Tue/Thu 11:00-12:30,2025-01-15,2025-05-15,30/35,Open,
21,001,CHEM102,Chemistry II,Science,Dr. Green,Mon/Wed 13:00-14:30,2025-01-15,2025-05-15,25/30,Open,CHEM101
22,001,BIO101,Biology I,Science,Dr. Black,Fri 14:00-17:00,2025-01-15,2025-05-15,35/40,Open,
23,001,BIO102,Biology II,Science,Dr. Black,Tue/Thu 16:00-17:30,2025-01-15,2025-05-15,30/35,Open,BIO101
24,001,STAT101,Probability & Statistics,Mathematics,Dr. Brown,Mon/Wed 09:00-10:30,2025-01-15,2025-05-15,30/35,Open,MATH101
25,001,STAT201,Applied Statistics,Mathematics,Dr. Brown,Tue/Thu 14:00-15:30,2025-01-15,2025-05-15,25/30,Open,STAT101
26,001,ECON101,Principles of Economics,Social Science,Dr. Adams,Fri 09:00-12:00,2025-01-15,2025-05-15,40/45,Open,
27,001,ECON201,Microeconomics,Social Science,Dr. Adams,Mon/Wed 10:00-11:30,2025-01-15,2025-05-15,35/40,Open,ECON101
28,001,ECON202,Macroeconomics,Social Science,Dr. Adams,Tue/Thu 13:00-14:30,2025-01-15,2025-05-15,35/40,Open,ECON101
29,001,PSY101,Introduction to Psychology,Social Science,Dr. Clark,Fri 13:00-16:00,2025-01-15,2025-05-15,45/50,Open,
30,001,PSY201,Developmental Psychology,Social Science,Dr. Clark,Mon/Wed 15:00-16:30,2025-01-15,2025-05-15,30/35,Open,PSY101
31,001,PHIL101,Introduction to Philosophy,Humanities,Dr. Moore,Tue/Thu 10:00-11:30,2025-01-15,2025-05-15,30/35,Open,
32,001,PHIL201,Ethics,Humanities,Dr. Moore,Fri 10:00-13:00,2025-01-15,2025-05-15,25/30,Open,PHIL101
33,001,HIST101,World History I,Humanities,Dr. King,Mon/Wed 11:00-12:30,2025-01-15,2025-05-15,35/40,Open,
34,001,HIST102,World History II,Humanities,Dr. King,Tue/Thu 14:00-15:30,2025-01-15,2025-05-15,35/40,Open,HIST101
35,001,ART101,Art Appreciation,Arts,Dr. Lee,Fri 14:00-17:00,2025-01-15,2025-05-15,20/25,Open,
36,001,MUS101,Music Theory,Arts,Dr. Lee,Mon/Wed 16:00-17:30,2025-01-15,2025-05-15,15/20,Open,
